Date time,Air temperature (°C),Relative humidity (%),10 m wind speed (km/h),Wind direction (°)
7/11/2019 0:00,10.9,94,4,280
7/11/2019 0:30,10.2,96,0,0
7/11/2019 1:00,11.1,95,5,290
7/11/2019 1:30,9.6,97,4,210
7/11/2019 2:00,8.5,99,8,250
7/11/2019 2:30,8.7,99,5,280
7/11/2019 3:00,9,99,5,300
7/11/2019 3:30,7.7,99,9,260
7/11/2019 4:00,8.6,99,9,240
7/11/2019 4:30,7.7,99,9,250
7/11/2019 5:00,6.4,99,9,270
7/11/2019 5:30,6.6,99,0,0
7/11/2019 6:00,6.5,99,0,0
7/11/2019 6:30,7.1,99,4,220
7/11/2019 7:00,9.7,99,0,0
7/11/2019 7:30,12.2,99,5,250
7/11/2019 8:00,17.2,72,0,0
7/11/2019 8:30,22.1,30,13,300
7/11/2019 9:00,23.8,27,17,320
7/11/2019 9:30,27.1,18,21,330
7/11/2019 10:00,28.3,15,17,330
7/11/2019 10:30,29,14,17,330
7/11/2019 11:00,30.4,13,24,350
7/11/2019 11:30,32,12,24,320
7/11/2019 12:00,33.1,12,21,330
7/11/2019 12:30,33.7,10,18,320
7/11/2019 13:00,34.5,9,24,340
7/11/2019 13:30,34.5,9,26,320
7/11/2019 14:00,34.5,8,22,280
7/11/2019 14:30,34.8,8,18,310
7/11/2019 15:00,34.9,8,13,280
7/11/2019 15:30,30.8,24,21,100
7/11/2019 16:00,30.7,22,15,110
7/11/2019 16:30,29.7,26,21,120
7/11/2019 17:00,29.9,22,17,100
7/11/2019 17:30,29.7,20,17,110
7/11/2019 18:00,28.7,21,11,90
7/11/2019 18:30,27.3,23,9,90
7/11/2019 19:00,25,26,11,80
7/11/2019 19:30,23.1,31,9,110
7/11/2019 20:00,19,48,8,150
7/11/2019 20:30,19.1,49,5,210
7/11/2019 21:00,17.7,54,0,0
7/11/2019 21:30,17.2,58,0,0
7/11/2019 22:00,14.6,68,0,0
7/11/2019 22:30,14.2,69,5,220
7/11/2019 23:00,14.3,73,5,310
7/11/2019 23:30,13.9,74,2,330
8/11/2019 0:00,12.7,73,4,300
8/11/2019 0:30,11.8,76,2,310
8/11/2019 1:00,11.6,80,0,0
8/11/2019 1:30,11.4,81,2,270
8/11/2019 2:00,11.3,80,0,0
8/11/2019 2:30,10.7,82,2,180
8/11/2019 3:00,10.8,83,0,0
8/11/2019 3:30,9,84,0,0
8/11/2019 4:00,9,85,0,0
8/11/2019 4:30,8.9,90,5,270
8/11/2019 5:00,9.3,87,5,310
8/11/2019 5:30,8.7,86,5,250
8/11/2019 6:00,8.2,89,2,320
8/11/2019 6:30,9.7,92,0,0
8/11/2019 7:00,11.1,92,8,260
8/11/2019 7:30,13.7,75,0,0
8/11/2019 8:00,17,55,5,230
8/11/2019 8:30,19.8,46,0,0
8/11/2019 9:00,22.9,38,0,0
8/11/2019 9:30,26.1,33,2,20
8/11/2019 10:00,30.2,13,8,260
8/11/2019 10:30,31.8,11,13,360
8/11/2019 11:00,32.6,9,21,340
8/11/2019 11:26,34,8,30,300
8/11/2019 11:30,34.4,8,46,320
8/11/2019 12:00,34.6,7,41,300
8/11/2019 12:30,34.3,7,34,290
8/11/2019 13:00,34.6,7,31,310
8/11/2019 13:30,35,7,28,300
8/11/2019 13:36,35,7,28,300
8/11/2019 14:00,34.7,6,31,290
8/11/2019 14:30,34,7,24,320
8/11/2019 15:00,33.9,7,21,330
8/11/2019 15:30,33.9,7,8,350
8/11/2019 16:00,30.3,20,15,130
8/11/2019 16:30,29,31,17,140
8/11/2019 17:00,28.1,34,13,140
8/11/2019 17:30,27.1,37,13,70
8/11/2019 18:00,26.3,37,17,210
8/11/2019 18:30,26.4,35,9,30
8/11/2019 19:00,25.1,40,8,170
8/11/2019 19:30,23.8,43,8,30
8/11/2019 20:00,25.8,34,8,270
8/11/2019 20:30,23.2,42,4,170
8/11/2019 20:52,28.3,19,22,300
8/11/2019 21:00,29.6,15,21,290
8/11/2019 21:30,29.3,15,21,300
8/11/2019 22:00,29.6,14,21,290
8/11/2019 22:30,27.9,17,13,290
8/11/2019 23:00,26.5,20,8,240
8/11/2019 23:30,25.8,24,9,250
8/11/2019 23:56,25.7,32,30,130
8/11/2019 23:57,23.8,42,37,140
9/11/2019 0:00,22.7,51,44,150
9/11/2019 0:30,21.6,60,28,150
9/11/2019 0:50,21.3,53,30,150
9/11/2019 1:00,21.2,51,22,160
9/11/2019 1:30,20.1,54,21,160
9/11/2019 2:00,19.4,53,24,160
9/11/2019 2:30,19.1,52,18,150
9/11/2019 3:00,18.7,52,13,130
9/11/2019 3:30,18.1,55,18,160
9/11/2019 4:00,17.5,56,21,180
9/11/2019 4:30,17.5,52,22,180
9/11/2019 5:00,17.2,51,15,170
9/11/2019 5:30,16.8,50,13,160
9/11/2019 6:00,16.5,50,18,180
9/11/2019 6:30,16,52,15,200
9/11/2019 7:00,16.4,51,13,190
9/11/2019 7:30,16.8,49,22,190
9/11/2019 8:00,17.3,47,26,190
9/11/2019 8:30,17.6,44,26,180
9/11/2019 9:00,18.1,42,17,180
9/11/2019 9:30,18.8,38,22,180
9/11/2019 10:00,19.2,35,15,180
9/11/2019 10:30,20,35,9,130
9/11/2019 11:00,20.7,26,13,160
9/11/2019 11:30,21.2,25,5,150
9/11/2019 12:00,21.5,25,5,50
9/11/2019 12:30,20.2,35,24,60
9/11/2019 13:00,20.4,34,22,90
9/11/2019 13:30,20.2,33,21,90
9/11/2019 14:00,20.3,34,22,90
9/11/2019 14:30,19.7,36,22,120
9/11/2019 15:00,19.6,36,17,110
9/11/2019 15:30,19.1,38,21,130
9/11/2019 16:00,19,35,22,120
9/11/2019 16:30,18.8,37,17,130
9/11/2019 17:00,18.4,40,18,130
9/11/2019 17:30,18,42,15,110
9/11/2019 18:00,17.5,45,15,100
9/11/2019 18:30,16.8,48,11,110
9/11/2019 19:00,15.6,51,8,110
9/11/2019 19:30,14.7,56,8,30
9/11/2019 20:00,12.5,61,0,0
9/11/2019 20:30,11.3,69,0,0
9/11/2019 21:00,10.6,73,0,0
9/11/2019 21:30,9.1,78,0,0
9/11/2019 22:00,9.2,83,0,0
9/11/2019 22:30,7.8,84,0,0
9/11/2019 23:00,7.3,86,4,270
9/11/2019 23:30,7.8,89,2,290
10/11/2019 0:00,7.4,90,4,290
10/11/2019 0:30,6.6,90,8,250
10/11/2019 1:00,6.4,88,5,260
10/11/2019 1:30,5.7,91,5,230
10/11/2019 2:00,6.2,91,2,270
10/11/2019 2:30,6.5,92,2,290
10/11/2019 3:00,5.6,89,0,0
10/11/2019 3:30,4.9,93,4,240
10/11/2019 4:00,4.9,96,0,0
10/11/2019 4:30,5.1,96,8,240
10/11/2019 5:00,5.7,98,8,210
10/11/2019 5:30,5.1,97,0,0
10/11/2019 6:00,4.9,97,2,310
10/11/2019 6:30,5.2,98,0,0
10/11/2019 7:00,6.5,97,0,0
10/11/2019 7:30,8.6,91,4,250
10/11/2019 8:00,11.3,79,4,230
10/11/2019 8:30,14.6,68,0,0
10/11/2019 9:00,17.9,53,0,0
10/11/2019 9:30,20.5,32,5,320
10/11/2019 10:00,21.3,27,4,280
10/11/2019 10:30,22.4,25,2,170
10/11/2019 11:00,22.7,24,5,320
10/11/2019 11:30,23.2,23,9,110
10/11/2019 12:00,24.3,23,5,60
10/11/2019 12:30,24.5,23,8,330
10/11/2019 12:52,23.2,28,28,90
10/11/2019 13:00,23.6,28,26,90
10/11/2019 13:30,23.1,30,24,90
10/11/2019 14:00,23,30,21,110
10/11/2019 14:30,22.5,31,21,120
10/11/2019 15:00,22.2,36,21,100
10/11/2019 15:30,21.9,37,18,120
10/11/2019 16:00,21.5,38,18,130
10/11/2019 16:30,21,42,18,140
10/11/2019 17:00,20.6,44,17,120
10/11/2019 17:30,20.3,47,17,110
10/11/2019 18:00,19.8,50,15,120
10/11/2019 18:30,19.2,51,13,120
10/11/2019 19:00,18.2,55,8,100
10/11/2019 19:30,17.5,57,4,70
10/11/2019 20:00,15.9,64,0,0
10/11/2019 20:30,13.7,70,0,0
10/11/2019 21:00,12.6,77,5,300
10/11/2019 21:30,12.7,80,0,0
10/11/2019 22:00,11.8,82,0,0
10/11/2019 22:30,11,83,4,260
10/11/2019 23:00,11.6,86,0,0
10/11/2019 23:30,10.7,86,8,270
11/11/2019 0:00,9.8,86,5,280
11/11/2019 0:30,9.9,92,5,290
11/11/2019 1:00,9.3,92,0,0
11/11/2019 1:30,9.8,94,5,290
11/11/2019 2:00,9.8,92,8,290
11/11/2019 2:30,9.8,91,5,270
11/11/2019 3:00,9.3,96,5,270
11/11/2019 3:30,8.2,94,8,270
11/11/2019 4:00,9.1,97,5,280
11/11/2019 4:30,9.3,97,11,250
11/11/2019 5:00,9.1,93,8,270
11/11/2019 5:30,8.5,95,8,260
11/11/2019 6:00,8.8,96,9,250
11/11/2019 6:30,10.1,95,9,250
11/11/2019 7:00,11.3,90,9,250
11/11/2019 7:30,12.6,84,9,260
11/11/2019 8:00,14.2,76,8,280
11/11/2019 8:30,16,69,5,280
11/11/2019 9:00,17.7,62,8,280
11/11/2019 9:30,19.4,57,9,290
11/11/2019 10:00,20.8,57,2,270
11/11/2019 10:30,21.3,53,8,30
11/11/2019 11:00,22.6,49,15,40
11/11/2019 11:30,23.5,48,11,40
11/11/2019 12:00,23.9,46,13,20
11/11/2019 12:30,25,44,13,30
11/11/2019 13:00,24.6,47,22,70
11/11/2019 13:30,24.3,47,22,80
11/11/2019 14:00,23.7,49,18,70
11/11/2019 14:30,23.8,49,21,70
11/11/2019 15:00,23.3,52,21,70
11/11/2019 15:30,23.3,53,18,70
11/11/2019 16:00,22.7,56,18,70
11/11/2019 16:30,22.3,57,18,50
11/11/2019 17:00,22.2,60,18,60
11/11/2019 17:30,21.8,63,18,50
11/11/2019 18:00,21.5,65,17,50
11/11/2019 18:30,21.1,67,15,50
11/11/2019 19:00,20.6,71,11,50
11/11/2019 19:30,19.5,74,4,60
11/11/2019 20:00,17.8,77,2,100
11/11/2019 20:30,17,83,5,140
11/11/2019 21:00,16.3,90,5,250
11/11/2019 21:30,16.1,92,5,270
11/11/2019 22:00,15.6,94,5,270
11/11/2019 22:30,15.2,96,0,0
11/11/2019 23:00,13.9,94,0,0
11/11/2019 23:30,13.6,99,0,0
12/11/2019 0:00,13.1,98,0,0
12/11/2019 0:30,12.4,99,0,0
12/11/2019 1:00,12.4,99,0,0
12/11/2019 1:30,12.9,99,0,0
12/11/2019 2:00,11.7,99,0,0
12/11/2019 2:30,10.9,99,0,0
12/11/2019 3:00,11,99,0,0
12/11/2019 3:30,11,99,0,0
12/11/2019 4:00,10.3,99,0,0
12/11/2019 4:30,10.4,99,0,0
12/11/2019 5:00,9.8,99,0,0
12/11/2019 5:30,9.4,99,0,0
12/11/2019 6:00,9.4,99,0,0
12/11/2019 6:30,9.9,99,0,0
12/11/2019 7:00,10.7,99,0,0
12/11/2019 7:30,13,99,0,0
12/11/2019 8:00,15.6,99,5,230
12/11/2019 8:30,19.4,78,9,340
12/11/2019 9:00,20.7,73,4,120
12/11/2019 9:30,23,57,4,240
12/11/2019 10:00,25.4,51,2,130
12/11/2019 10:30,27.5,47,9,60
12/11/2019 11:00,29.2,36,13,20
12/11/2019 11:30,31.5,18,21,350
12/11/2019 12:00,32.3,15,17,340
12/11/2019 12:30,33.9,12,15,330
12/11/2019 13:00,32.9,24,22,50
12/11/2019 13:30,31.6,26,26,60
12/11/2019 14:00,31.4,25,26,40
12/11/2019 14:30,30.8,31,22,60
12/11/2019 15:00,30.8,33,21,60
12/11/2019 15:30,30.7,31,21,70
12/11/2019 16:00,29.7,35,17,80
12/11/2019 16:30,28.9,38,15,90
12/11/2019 17:00,27.3,47,13,140
12/11/2019 17:30,27.5,42,11,100
12/11/2019 18:00,25.9,49,9,110
12/11/2019 18:30,24.6,58,11,120
12/11/2019 19:00,23.1,65,11,110
12/11/2019 19:30,21.3,75,11,110
12/11/2019 20:00,19.7,81,2,110
12/11/2019 20:30,18.4,92,5,150
12/11/2019 21:00,16.8,94,5,210
12/11/2019 21:30,16.4,97,0,0
12/11/2019 22:00,15.9,97,5,320
12/11/2019 22:30,15,98,8,350
12/11/2019 23:00,14.1,96,2,160
12/11/2019 23:30,13.7,98,4,250
13/11/2019 0:00,13.8,99,0,0
13/11/2019 0:30,13.7,99,0,0
13/11/2019 1:00,12.7,99,2,170
13/11/2019 1:20,18,78,13,170
13/11/2019 1:30,20.5,63,15,160
13/11/2019 2:00,20.8,55,17,170
13/11/2019 2:30,20.5,55,11,170
13/11/2019 3:00,18.7,58,5,230
13/11/2019 3:30,20.3,62,13,170
13/11/2019 4:00,20,68,18,170
13/11/2019 4:30,19.4,71,28,170
13/11/2019 5:00,19.1,70,26,170
13/11/2019 5:30,18.8,70,24,160
13/11/2019 6:00,18.4,71,22,160
13/11/2019 6:30,18.2,71,22,170
13/11/2019 7:00,18.3,69,22,170
13/11/2019 7:30,18.8,66,21,170
13/11/2019 8:00,19.1,64,17,180
13/11/2019 8:30,19.5,61,18,170
13/11/2019 9:00,20.3,58,21,170
13/11/2019 9:30,21.2,54,17,170
13/11/2019 10:00,21.8,50,13,160
13/11/2019 10:30,22.8,47,4,160
13/11/2019 11:00,23.1,45,5,30
13/11/2019 11:30,23.9,43,13,40
13/11/2019 12:00,24,45,21,40
13/11/2019 12:30,23.3,45,22,50
13/11/2019 13:00,23.7,44,21,100
13/11/2019 13:30,23.6,44,21,100
13/11/2019 14:00,22.9,44,21,130
13/11/2019 14:30,23.1,40,17,140
13/11/2019 15:00,23,40,17,120
13/11/2019 15:30,22.6,42,17,90
13/11/2019 16:00,22.4,43,15,100
13/11/2019 16:30,21.9,45,18,90
13/11/2019 17:00,21.4,39,17,100
13/11/2019 17:30,21.2,38,13,70
13/11/2019 18:00,20.7,41,11,70
13/11/2019 18:30,20.2,44,11,90
13/11/2019 19:00,19.6,47,9,90
13/11/2019 19:30,18.5,51,5,50
13/11/2019 20:00,17.4,55,5,20
13/11/2019 20:30,15.6,60,0,0
13/11/2019 21:00,13.9,67,0,0
13/11/2019 21:30,13.7,73,0,0
13/11/2019 22:00,12.9,74,8,260
13/11/2019 22:30,12.4,77,0,0
13/11/2019 23:00,11.8,80,0,0
13/11/2019 23:30,10.7,84,0,0
14/11/2019 0:00,9.9,87,0,0
