,date_time,temp,humidity,wind_speed,wind_dir,drought,ffdi,gfdi,mc_v,fM_d,fFA,fM,vesta2_r1,vesta2_p2,vesta2_r2,vesta2_p3,vesta2_r3,fros_vesta2,fros_vesta2_fbcalc,mc_amicus,fros_vesta2_amicus
38,20/12/2021 18:00,29.1,15.9,11,211,8.8,24,1,4.9776,0.946183253,0.979476016,0.926763804,187.5125917,0.999589071,641.5231064,0.015428264,844.2596382,644.4672914,498,4.9776,490
39,20/12/2021 19:00,29.1,16.2,10,208,8.8,23,1,5.0283,0.942714908,0.979476016,0.923366643,168.3120878,0.999244871,590.7991955,0.010535651,750.8805715,592.1700862,443,5.0283,449
40,20/12/2021 20:00,28.3,17.7,8,202,8.8,20,1,5.21771,0.929384238,0.979476016,0.910309571,128.8123204,0.997253221,484.4368751,0.004137626,567.4646787,483.8076326,329,5.21771,366
41,20/12/2021 21:00,25.4,26.2,6,207,8.8,13,1,7.04078,0.779146104,0.979476016,0.763154922,75.91084351,0.951712506,320.2581049,4.41E-05,337.6956118,308.4604784,22,7.04078,231
42,20/12/2021 22:00,22.8,30.8,6,197,8.8,10,0,8.07716,0.684821666,0.979476016,0.670766397,66.72097829,0.865859368,281.4872432,3.69E-06,296.8137428,252.6785233,20,8.07716,187
43,20/12/2021 23:00,20.9,34.9,5,188,8.8,8,0,8.98073,0.6028287,0.979476016,0.590456253,45.88932615,0.580966902,213.1552252,3.17E-07,210.2681043,143.0652986,17,8.98073,102
44,21/12/2021 0:00,19.9,38.4,5,190,8.8,7,0,9.72203,0.537954971,0.979476016,0.526913992,40.9509221,0.391505947,190.2164132,5.75E-08,187.6399913,99.3892496,15,9.72203,67
45,21/12/2021 1:00,18.5,42.5,6,267,8.8,6,0,10.60145,0.465796568,0.979476016,0.456236567,45.38174571,0.325818572,191.45976,1.16E-08,201.8844169,92.97667578,13,10.60145,57
46,21/12/2021 2:00,17.2,47.4,6,245,8.8,5,0,11.63444,0.389967471,0.979476016,0.381963785,37.9938493,0.164580091,160.2911733,1.57E-09,169.018754,58.12155399,11,11.63444,30
47,21/12/2021 3:00,16.3,50.2,6,226,8.8,4,0,12.23231,0.351272492,0.979476016,0.344062982,34.22386516,0.11081312,144.3860942,5.67E-10,152.2476704,46.43128551,10,12.23231,21
48,21/12/2021 4:00,15.5,54.3,6,216,8.8,4,0,13.08275,0.303415614,0.979476016,0.297188317,29.56125313,0.066062311,124.7151325,1.61E-10,131.5056585,35.84733832,8,13.08275,15
49,21/12/2021 5:00,14.5,62.4,9,188,8.8,3,0,14.73485,0.235347251,0.979476016,0.230516987,37.34795505,0.147915107,135.2032548,6.50E-11,165.3444561,51.82223217,96,14.73485,50
50,21/12/2021 6:00,13.9,65.3,10,189,8.8,3,0,15.33803,0.218404104,0.979476016,0.213921581,38.99381494,0.200400998,136.8737967,5.59E-11,173.960756,58.60906102,101,15.33803,55
